ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,TIMING_ADVANCE
19.2,1214.0,70.0,10.2,3.37,18.0,19.2,61.2
100.0,1058.0,85.0,7.8,17.64,28.0,51.8,49.4
93.3,1936.0,77.0,-0.8,27.65,45.0,36.5,64.7
92.9,2273.0,53.0,-10.2,31.91,48.0,37.3,66.3
63.1,2367.0,35.0,-3.9,22.33,49.0,34.1,70.2
27.1,2396.0,19.0,0.8,9.72,46.0,28.2,77.3
17.6,2209.0,20.0,0.0,6.14,42.0,24.3,63.9
37.6,792.0,35.0,-8.6,4.24,0.0,20.4,56.1
68.6,1291.0,22.0,3.1,10.33,16.0,27.5,55.3
58.4,1495.0,40.0,-1.6,13.22,24.0,30.6,66.7
41.2,2060.0,18.0,-0.8,12.81,20.0,30.2,72.2
16.9,1362.0,50.0,7.8,3.9,17.0,23.1,61.2
65.1,1595.0,72.0,0.0,15.36,33.0,33.3,67.5
22.4,2745.0,71.0,3.9,7.87,43.0,26.3,68.2
88.2,2226.0,60.0,-0.8,29.3,52.0,36.5,67.1
60.0,2601.0,47.0,-2.3,22.75,55.0,34.1,69.8
52.5,2731.0,17.0,0.0,21.54,54.0,33.7,72.5
25.9,2268.0,39.0,12.5,9.08,48.0,29.0,77.3
49.8,2437.0,40.0,5.5,18.34,53.0,32.5,72.9
88.2,1786.0,49.0,0.8,23.56,56.0,34.9,65.5
18.8,1829.0,30.0,3.9,5.1,33.67243525896414,22.4,74.9
32.9,781.0,33.0,4.7,3.99,4.0,20.4,63.5
41.6,798.0,31.0,0.0,4.54,0.0,20.8,52.5
43.9,786.0,45.0,-2.3,4.62,2.0,21.2,52.9
74.1,1297.0,85.0,0.0,17.56,25.0,34.9,52.2
90.6,2562.0,78.0,4.7,7.21,41.0,25.5,64.3
90.6,1726.0,63.0,-5.5,23.28,56.0,34.9,63.9
72.2,1913.0,52.0,-0.8,20.26,60.0,33.3,67.5
60.4,2017.0,38.0,-6.2,18.0,61.0,32.5,68.6
44.3,2042.0,39.0,6.2,13.5,33.67243525896414,30.6,71.4
34.9,2016.0,28.0,7.0,10.44,59.0,29.0,72.9
26.7,1932.0,19.0,0.0,7.13,54.0,25.9,75.7
38.8,793.0,34.0,-1.6,4.13,7.0,20.4,55.7
39.2,788.0,33.0,2.3,4.44,0.0,20.8,50.2
93.7,2271.0,20.0,-5.5,32.26,35.0,37.3,65.9
74.9,1802.0,55.0,-0.8,20.3,43.0,33.3,66.3
65.1,2227.0,30.0,-7.8,21.43,47.0,33.7,69.0
18.0,2254.0,35.0,0.0,6.1,41.0,24.3,67.5
98.4,1937.0,69.0,5.5,28.56,46.0,36.9,63.5
86.3,2410.0,56.0,-7.0,27.71,55.0,35.7,67.8
24.3,2895.0,19.0,3.9,7.79,57.0,26.7,76.5
63.1,1535.0,39.0,7.8,14.43,56.0,31.4,68.2
46.7,1547.0,44.0,0.0,10.7,57.0,29.0,70.2
59.6,1562.0,50.0,4.7,13.52,59.0,31.0,68.2
51.8,1690.0,37.0,0.8,12.61,62.0,30.2,69.8
43.5,1694.0,20.0,-0.8,10.48,61.0,29.0,71.8
18.4,1638.0,21.0,0.0,4.2,52.0,21.6,63.1
19.2,1324.0,20.0,1.6,3.56,41.0,20.4,60.0
22.0,1100.0,65.0,6.2,3.54,40.0,18.8,56.9
100.0,1132.0,20.0,3.1,16.28,43.0,33.7,54.9
96.9,1732.0,49.0,1.6,23.58,51.0,34.9,61.6
91.0,2228.0,81.0,-0.8,30.29,51.0,36.9,66.7
22.0,881.0,31.0,-2.3,4.35,50.0,21.2,62.7
38.0,797.0,70.0,-12.5,4.09,51.0,20.0,55.7
20.4,1420.0,30.0,1.6,3.45,20.0,20.8,66.7
39.6,784.0,32.0,-4.7,4.1,0.0,20.4,57.6
88.2,2431.0,84.0,5.5,7.35,32.0,25.5,63.1
18.8,2366.0,71.0,4.7,6.71,44.0,24.3,61.6
78.8,2293.0,63.0,-9.4,27.37,52.0,35.7,68.2
20.4,1826.0,49.0,2.3,6.47,53.0,28.2,76.9
57.3,1775.0,50.0,-3.1,14.88,54.0,31.4,69.0
43.1,1682.0,47.0,3.9,10.83,53.0,30.2,71.8
56.5,1790.0,32.0,-4.7,14.92,56.0,31.4,69.4
28.2,1890.0,20.0,0.0,6.68,55.0,23.5,74.9
34.1,1870.0,27.0,1.6,9.28,58.0,27.8,74.1
18.8,1921.0,28.0,3.1,5.32,56.0,23.1,67.5
36.5,1892.0,33.0,1.6,10.44,58.0,29.0,72.9
19.2,1934.0,20.0,0.0,5.07,57.0,23.5,63.1
49.0,1659.0,57.0,-7.0,12.0,49.0,29.8,70.2
70.6,1650.0,55.0,-5.5,17.33,52.0,32.2,67.5
40.4,1730.0,20.0,-4.7,9.38,48.0,27.1,71.0
18.0,1546.0,21.0,0.0,4.1,37.0,21.2,62.7
22.4,1100.0,30.0,-0.8,3.4,17.0,18.8,56.9
39.6,793.0,35.0,-2.3,4.06,1.0,20.4,53.7
40.0,802.0,33.0,1.6,4.39,0.0,20.8,50.6
85.9,1202.0,57.0,0.0,16.54,18.0,32.5,51.8
20.0,2384.0,70.0,5.5,7.08,36.0,24.7,74.5
62.4,1865.0,62.0,0.8,17.41,42.0,32.5,68.6
87.8,2151.0,21.0,2.3,28.45,48.0,36.1,67.1
60.0,1605.0,71.0,-3.1,13.95,51.0,31.0,68.6
16.9,1395.0,44.0,10.2,3.29,36.0,20.8,61.2
100.0,1251.0,79.0,9.4,19.5,44.0,35.7,55.3
95.7,1511.0,68.0,0.0,21.09,51.0,34.5,60.0
79.6,1718.0,65.0,2.3,20.28,54.0,33.7,65.9
79.2,2077.0,62.0,-2.3,24.7,66.0,34.9,67.5
33.7,1859.0,30.0,6.2,9.34,66.0,27.8,73.7
62.7,1649.0,57.0,-4.7,15.16,60.0,31.8,68.6
19.6,1617.0,30.0,3.1,3.57,61.0,21.6,72.5
36.1,1698.0,20.0,0.0,9.1,62.0,27.8,63.8636053593179
19.6,1155.0,48.0,0.8,3.71,43.0,19.6,60.0
63.9,1205.0,20.0,-2.3,10.58,35.0,29.0,63.9
32.9,848.0,37.0,3.1,3.57,16.0,19.6,56.5
44.7,807.0,36.0,-2.3,4.78,20.0,23.1,56.1
19.2,1142.0,23.0,-0.8,5.8,23.0,25.9,60.8
18.4,1100.0,33.0,-5.5,3.47,0.0,18.4,59.2
40.0,777.0,57.0,-2.3,4.67,6.0,20.8,52.9
50.6,1470.0,31.0,3.9,10.21,1.0,26.7,57.3
40.0,758.0,53.0,-1.6,4.3,6.0,20.8,57.6
73.3,1336.0,47.0,0.0,16.83,14.0,32.5,58.0
93.3,1441.0,64.0,1.6,20.7,31.0,34.5,61.6
18.8,2186.0,79.0,3.9,6.06,38.0,23.5,62.4
95.7,2009.0,72.0,-6.2,28.53,48.0,36.5,63.5
86.7,2511.0,50.0,0.0,32.86,52.0,36.9,67.8
90.2,1462.0,52.0,1.6,17.93,47.0,33.3,69.8
100.0,1331.0,60.0,7.0,20.24,53.0,36.1,54.1
80.4,1521.0,52.0,-4.7,17.85,61.0,32.5,64.7
60.8,1720.0,50.0,-1.6,15.51,66.0,31.8,68.6
65.5,1695.0,58.0,2.3,17.36,63.0,32.5,68.2
58.4,1734.0,48.0,1.6,14.7,64.0,31.4,68.6
50.6,1772.0,41.0,-0.8,13.57,65.0,30.6,69.8
28.2,1776.0,19.0,0.0,4.54,56.0,21.6,71.0
18.4,1230.0,27.0,10.2,3.53,16.0,19.2,61.2
100.0,1187.0,72.0,3.9,16.04,33.0,32.5,51.4
88.6,1826.0,71.0,-3.1,23.92,46.0,34.9,65.1
34.9,1704.0,56.0,0.6281970010971596,11.73,55.0,30.2,62.4
63.5,1926.0,41.0,-7.8,17.8,63.0,32.5,67.8
45.9,2137.0,33.0,0.0,14.43,64.0,31.0,71.8
18.0,1394.0,28.0,7.8,3.39,26.0,20.4,61.6
37.3,793.0,31.0,2.3,4.22,0.0,20.0,52.9
64.3,1065.0,32.0,2.3,9.78,11.0,28.6,51.4
30.6,815.0,34.0,3.9,3.5,2.0,19.6,62.4
43.1,776.0,37.0,3.1,4.39,33.67243525896414,20.8,51.8
28.6,841.0,36.0,-3.9,6.18,11.0,26.3,64.3
13.3,1469.0,32.0,8.6,3.15,6.0,20.0,74.9
60.8,717.0,49.0,-4.7,6.02,14.0,25.1,59.2
21.6,1508.0,19.0,-1.6,9.76,15.0,25.5,65.5
19.2,1168.0,32.0,3.1,3.78,13.0,18.8,63.8636053593179
40.0,813.0,55.0,-2.3,4.41,5.0,20.8,52.9
44.3,1793.0,19.0,0.8,11.66,16.0,29.8,70.6
61.2,1441.0,68.0,6.2,17.36,32.0,33.3,67.8
20.4,2100.0,72.0,-1.6,6.13,40.0,23.5,63.5
84.7,2113.0,61.0,2.3,26.56,51.0,35.7,67.1
17.6,1291.0,21.0,10.2,3.5,32.0,20.4,61.2
20.8,1017.0,37.0,3.9,2.65,17.0,18.4,58.4
43.5,753.0,32.0,-1.6,4.56,2.0,21.2,54.9
86.7,1117.0,35.0,4.7,15.91,19.0,32.2,63.5
16.1,1781.0,59.0,0.0,4.85,22.0,22.4,75.3
81.2,2300.0,24.0,-5.5,28.73,33.67243525896414,36.1,67.5
28.2,1868.0,63.0,-0.8,12.41,42.0,32.2,76.9
73.3,2097.0,49.0,-4.7,22.97,44.0,34.1,67.8
57.6,2166.0,58.0,-6.2,18.73,46.0,32.5,69.8
68.2,2281.0,55.0,2.3,23.04,49.0,34.1,69.4
55.3,1742.0,63.0,6.2,19.48,54.0,33.7,72.9
58.8,1777.0,50.0,3.1,15.21,52.0,31.4,69.0
85.1,1657.0,51.0,-0.8,20.71,51.0,34.1,65.9
60.8,1699.0,18.0,2.3,15.66,50.0,31.8,68.6
38.4,1652.0,21.0,-1.6,9.1,39.0,27.8,72.5
87.8,1348.0,67.0,0.8,19.18,48.0,34.1,65.5
25.5,1506.438032627222,21.0,4.7,3.3,50.0,20.4,70.6
23.1,1086.0,29.0,-2.3,3.69,30.0,19.2,56.5
31.4,801.0,33.0,0.8,3.62,0.0,19.6,62.0
71.8,795.0,44.0,3.1,5.59,12.0,18.8,60.0
35.7,2300.0,65.0,4.7,6.54,24.0,23.9,70.2
72.9,2296.0,24.0,-6.2,25.72,35.0,35.3,68.2
71.8,1775.0,68.0,3.1,17.89,40.0,32.5,69.0
67.5,2017.0,59.0,-0.8,19.13,43.0,32.9,67.8
59.6,2219.0,19.0,-3.1,17.55,41.0,32.2,69.0
17.6,1752.0,22.0,0.0,4.55,27.0,22.0,63.5
48.6,1394.0,23.0,6.2,9.87,31.0,29.0,68.2
18.0,1497.0,20.0,15.6,3.9,30.0,21.6,66.7
38.8,1459.0,41.0,8.6,8.07,32.0,27.1,70.6
47.5,1670.0,53.0,-4.7,11.52,40.0,29.8,71.0
65.1,2086.0,19.0,0.0,20.37,46.0,33.3,68.2
20.0,980.0,23.0,-0.8,2.95,28.0,18.4,62.4
29.0,798.0,38.0,-3.9,3.38,16.0,19.6,65.1
41.6,782.0,32.0,-2.3,4.48,10.0,20.8,51.0
47.8,741.0,42.0,-3.9,4.86,16.0,22.4,64.3
42.7,1541.0,28.0,3.1,9.68,24.0,28.2,65.5
21.6,1893.0,34.0,8.6,4.86,27.0,22.0,72.2
67.8,1403.0,47.0,-6.2,15.02,34.0,31.8,66.7
50.2,1747.0,51.0,-3.1,12.74,38.0,30.2,70.2
80.4,2018.0,20.0,0.0,24.02,46.0,34.9,67.1
38.4,2281.0,44.0,0.0,14.26,47.0,31.0,73.7
53.3,2365.0,19.0,-3.1,18.61,48.0,32.5,71.8
16.5,1185.0,36.0,-2.3,3.7,46.0,18.4,58.4
47.1,1258.0,19.0,3.9,8.32,44.0,27.1,62.4
36.5,1199.0,21.0,4.7,6.44,40.0,23.1,67.5
18.8,1020.0,66.0,0.0,2.92,38.0,18.8,59.2
29.4,1169.0,88.0,8.6,2.41,41.0,20.4,60.8
100.0,1470.0,52.0,5.5,22.01,50.0,35.7,56.5
73.7,1700.0,23.0,-3.1,18.79,53.0,32.9,66.7
18.0,1719.0,47.0,3.1,4.54,51.0,22.4,63.5
51.8,1706.0,19.0,0.0,10.73,48.0,29.4,69.0
43.5,1495.0,19.0,6.2,9.33,45.0,27.8,70.2
19.6,1004.0,30.0,-6.2,2.81,21.0,18.0,60.8
37.6,764.0,32.0,3.9,3.85,5.0,20.0,57.6
80.4,1016.0,26.0,-3.9,10.94,5.0,27.1,53.7
35.7,802.0,33.0,-1.6,4.01,0.0,20.0,59.2
36.1,783.0,33.0,-1.6,4.3,2.0,20.4,57.3
55.3,946.0,50.0,0.6281970010971596,9.57,13.0,28.6,63.1
32.2,1517.0,68.0,-1.6,9.27,24.0,28.2,62.4
80.0,2328.0,59.0,1.6,28.04,33.0,35.3,67.5
65.9,2081.0,68.0,1.6,17.47,49.0,32.2,68.2
37.3,1613.0,44.0,3.1,9.02,49.0,27.5,72.5
70.6,1664.0,33.0,-5.5,16.56,52.0,32.2,67.1
81.6,1782.0,67.0,3.1,21.34,58.0,34.1,65.9
78.0,1991.0,49.0,-10.9,18.91,61.0,32.2,67.1
38.4,2034.0,20.0,0.0,9.44,56.0,25.5,70.2
42.7,803.0,33.0,1.6,4.37,14.0,20.4,65.1
32.5,800.0,29.0,4.7,3.86,3.0,20.0,58.0
39.2,807.0,79.0,3.1,4.19,13.0,20.4,55.7
29.0,2470.0,80.0,5.5,6.93,26.0,25.1,68.2
91.0,2633.0,85.0,3.9,25.71,36.0,27.1,66.3
98.8,1867.0,78.0,-3.1,27.83,46.0,36.9,62.0
96.9,2403.0,33.0,3.1,33.98,49.0,37.3,65.9
48.04087253229344,1660.0,34.0,3.9,9.62,50.0,28.2,72.2
42.0,1696.0,18.0,1.6,10.58,48.0,29.0,71.8
17.6,1550.0,20.0,3.1,4.1,31.0,22.0,62.7
34.1,856.0,57.0,6.2,4.39,24.0,21.2,66.7
100.0,915.0,58.0,0.0,14.35,36.0,34.9,48.2
66.7,1299.0,46.0,-7.8,12.79,47.0,30.6,63.9
18.0,1560.0,20.0,0.0,3.29,42.0,21.2,70.6
27.1,797.0,62.0,-0.8,3.28,28.0,20.4,63.1
80.4,1500.0,50.0,0.0,17.95,36.0,32.9,63.9
32.9,1648.0,32.0,4.7,7.99,33.0,26.7,73.7
20.0,1605.0,21.0,0.0,5.93,28.0,22.4,74.9
19.6,1313.0,95.0,8.6,3.56,27.0,20.4,59.6
100.0,1515.0,45.0,7.8,21.55,37.0,35.3,55.7
23.5,1803.0,20.0,0.0,4.42,31.0,21.6,75.7
18.0,1376.0,32.0,8.6,3.67,2.0,20.4,61.2
38.4,789.0,31.0,1.6,4.27,0.0,20.8,54.9
37.6,808.0,62.0,3.9,4.06,6.0,20.4,52.5
44.7,1292.0,32.0,1.6,1.97,0.0,19.2,54.9
52.5,1633.0,81.0,3.1,3.0,9.0,20.8,64.7
62.7,2349.0,72.0,5.5,6.77,24.0,24.7,61.6
86.3,2267.0,55.0,3.1,26.24,30.0,34.9,67.1
37.6,1704.0,21.0,-6.2,8.64,30.0,26.7,71.8
18.4,1330.0,28.0,10.2,3.42,14.0,20.4,73.7
34.1,790.0,65.0,-0.8,3.75,16.0,22.0,57.3
73.3,1630.0,20.0,2.3,17.95,21.0,32.5,64.7
17.3,1322.0,52.0,-0.8,3.53,13.0,19.2,65.5
78.4,1210.0,78.0,3.9,14.21,30.0,31.8,60.8
20.4,1723.0,70.0,3.1,13.71,35.0,31.0,76.1
84.7,1880.0,64.0,1.6,23.63,45.0,34.9,65.1
18.8,1675.0,57.0,2.3,9.88,47.0,28.2,62.7
65.1,1590.0,53.0,-7.0,15.28,51.0,31.8,67.5
16.1,1931.0,19.0,0.0,4.97,58.0,23.1,74.5
17.3,1496.0,27.0,6.2,3.74,26.0,20.8,63.1
88.6,1325.0,54.0,-5.5,15.77,32.0,32.2,59.2
62.4,1675.0,52.0,-8.6,15.53,39.0,31.8,68.2
39.6,1989.0,31.0,0.0,11.17,41.0,29.4,71.4
54.1,2282.0,49.0,-1.6,18.75,48.0,32.9,71.4
59.2,2388.0,37.0,-4.7,20.97,50.0,33.3,71.0
36.1,2444.0,53.0,3.1,13.24,49.0,30.6,75.3
18.0,1738.0,51.0,3.9,8.01,48.0,27.23618212807402,63.1
44.3,1349.0,21.0,0.0,8.02,46.0,25.1,67.8
20.4,1138.0,30.0,3.9,3.57,23.0,18.8,58.8
100.0,1671.0,73.0,0.0,28.68,44.0,39.2,56.1
59.6,2219.0,78.0,-0.8,6.66,48.0,23.5,67.8
96.5,1631.0,65.0,-3.1,11.256157120272407,51.0,35.3,61.6
17.3,1577.0,24.0,3.9,4.14,35.0,20.8,71.4
74.9,1260.0,43.0,6.2,14.88,48.0,31.8,63.9
43.1,1682.0,19.0,0.0,5.29,54.0,21.6,71.4
36.9,831.0,46.0,7.0,4.2,27.0,20.4,65.9
89.8,1482.0,70.0,0.8,21.43,41.0,34.9,61.6
76.9,2146.0,53.0,3.1,23.69,45.0,34.1,67.5
60.0,1519.0,75.0,-8.6,18.77,48.0,32.9,67.8
80.8,1676.0,31.0,-15.6,17.68,33.67243525896414,30.6,65.5
17.6,1630.0,20.0,0.0,4.3,45.0,21.6,64.3
19.6,1246.0,52.0,10.2,3.52,18.0,19.2,59.2
48.04087253229344,902.0,59.0,1.6,14.75,25.0,31.8,64.7
100.0,1414.0,82.0,0.0,24.99,43.0,40.8,54.1
98.0,2288.0,45.0,-7.0,33.33,52.0,37.6,65.1
69.4,1777.0,67.0,-3.9,17.28,57.0,32.5,67.5
80.0,1948.0,65.0,-5.5,23.57,61.0,34.5,66.7
54.1,1939.0,49.0,5.5,15.7,60.0,31.8,69.8
58.4,2012.0,48.0,0.8,17.31,64.0,32.2,69.0
56.9,2128.0,40.0,0.0,16.85,65.0,31.8,69.8
19.2,1187.0,28.0,10.9,3.55,19.0,18.4,60.8
60.8,1403.0,57.0,-1.6,14.21,33.0,31.8,67.8
70.2,1655.0,38.0,-3.1,17.01,36.0,32.5,63.8636053593179
54.5,1797.0,21.0,0.0,10.69,25.0,28.2,67.5
20.8,1067.0,77.0,-1.6,2.95,23.0,18.4,58.0
83.5,1289.0,50.0,-0.8,15.86,33.0,32.2,60.4
51.0,1741.0,24.0,-3.9,12.8,39.0,30.2,69.8
18.8,1891.0,20.0,0.0,5.28,38.0,23.1,63.1
20.4,879.0,32.0,12.5,3.83,12.0,20.4,67.8
60.8,1552.0,51.0,-3.9,14.29,18.0,31.8,52.5
20.4,1961.0,21.0,-1.6,11.16,15.0,29.0,63.1
20.4,1257.0,26.0,4.7,3.95,19.0,22.4,57.6
35.3,1733.0,33.0,0.0,10.53,25.0,29.4,74.1
19.6,1203.0,33.0,11.7,3.83,14.0,20.0,69.4
0.0,0.0,100.0,0.0,0.0,0.0,29.4,63.1
47.5,873.0,39.0,3.9,5.79,4.0,23.9,54.1
43.9,747.0,39.0,-4.7,4.54,11.0,21.6,58.0
76.5,993.0,98.0,0.0,11.63,20.0,30.6,56.1
61.2,1045.0,48.0,-2.3,9.18,22.0,27.8,60.0
83.1,1143.0,75.0,-5.5,13.93,23.0,32.2,58.4
45.5,1173.0,82.0,6.2,1.98,17.0,17.3,52.9
95.7,1608.0,84.0,-6.2,22.64,28.0,35.7,58.8
100.0,2645.0,66.0,3.1,40.81,31.0,39.2,65.1
85.5,1570.0,70.0,-6.2,19.49,36.0,33.7,63.1
88.6,1871.0,74.0,-0.8,24.66,45.0,35.3,64.3
89.0,2404.0,32.0,3.1,6.83,49.0,25.5,66.3
18.4,1609.0,20.0,0.0,4.32,40.0,22.0,63.1
22.7,943.0,43.0,12.5,3.16,25.0,21.6,59.6
96.5,1201.0,85.0,0.0,18.13,22.0,34.5,56.5
26.7,1194.0,65.0,-2.3,1.97,16.0,18.8,59.6
98.4,1615.0,21.0,4.7,23.83,25.0,35.7,61.6
30.2,894.0,44.0,7.8,3.92,16.0,19.2,63.5
49.8,1441.0,20.0,6.2,10.47,20.0,29.4,65.1
44.7,865.0,35.0,-0.8,4.74,16.0,21.2,64.3
40.0,797.0,32.0,-2.3,4.39,2.0,20.8,53.7
38.8,796.0,33.0,-4.7,4.13,0.0,20.4,58.0
43.1,827.0,35.0,-8.6,4.55,13.0,21.2,52.9
37.3,821.0,29.0,-2.3,4.27,20.0,20.4,54.1
40.4,1535.0,36.0,0.8,8.77,23.0,27.5,72.9
39.2,1965.0,33.0,-7.0,11.46,27.0,29.8,72.5
37.3,2336.0,20.0,-5.5,12.74,28.0,30.6,74.5
27.1,2245.0,31.0,7.0,9.32,27.0,27.8,76.9
45.1,2377.0,39.0,-1.6,15.93,33.0,31.8,72.5
20.0,2323.0,53.0,-0.8,6.03,36.0,25.9,64.3
67.5,1903.0,57.0,-4.7,18.96,44.0,33.3,67.1
67.1,2264.0,55.0,3.1,22.5,51.0,34.1,68.2
63.9,2598.0,53.0,-2.3,24.48,58.0,34.5,69.4
61.2,2955.0,49.0,5.5,26.94,67.0,35.3,69.8
39.6,2383.0,38.0,0.8,14.23,72.0,31.0,74.5
42.4,2388.0,20.0,3.1,15.38,66.0,31.4,73.7
19.2,1316.0,27.0,10.9,3.57,17.0,19.6,74.1
45.9,1243.0,56.0,7.8,10.23,24.0,29.8,63.9
63.9,2173.0,50.0,-0.8,20.5,35.0,33.3,68.2
23.1,2900.0,44.0,6.2,7.76,38.0,25.9,72.5
55.7,1948.0,47.0,-8.6,16.47,43.0,31.8,69.0
54.1,2171.0,46.0,-7.8,17.4,47.0,32.5,70.2
55.3,2322.0,47.0,-1.6,19.31,50.0,32.9,71.0
19.2,2438.0,19.0,0.0,6.8,32.0,25.5,78.8
18.8,1210.0,45.0,10.9,3.37,20.0,18.0,60.4
60.8,1785.0,58.0,-2.3,17.32,28.0,32.5,68.6
67.1,2468.0,53.0,-7.8,24.5,33.0,34.5,69.4
21.2,3234.0,22.0,0.0,9.22,25.0,27.8,76.1
57.3,2041.0,55.0,6.2,18.94,32.0,32.9,67.1
58.4,2952.0,34.0,-3.9,27.06,44.0,35.3,70.6
24.7,3720.0,20.0,0.0,14.11,46.0,31.0,72.2
23.1,2431.0,21.0,6.2,8.52,50.0,27.5,78.0
18.4,2371.0,20.0,0.0,6.8,40.0,25.5,63.9
31.8,848.0,29.0,1.6,3.25,14.0,18.8,67.8
46.7,1389.0,45.0,2.3,9.58,25.0,28.2,66.7
20.4,2540.0,54.0,7.0,7.3,37.0,25.5,53.7
66.7,1919.0,57.0,-10.9,19.22,45.0,32.9,67.5
64.7,2305.0,54.0,-0.8,22.32,52.0,34.1,69.4
63.9,2650.0,50.0,4.7,9.28,57.0,27.5,69.8
58.4,1933.0,46.0,0.8,16.62,61.0,32.2,69.0
19.6,2034.0,19.0,0.0,5.92,51.0,24.3,77.3
42.4,1083.0,36.0,0.8,8.74,40.0,29.0,64.3
40.0,2001.0,20.0,-8.6,11.88,34.0,29.8,71.8
17.6,1466.0,36.0,4.7,3.54,1.0,20.8,63.1
44.3,787.0,35.0,11.7,4.8,33.67243525896414,22.0,50.6
37.3,809.0,33.0,-3.1,4.28,0.0,20.0,56.5
38.0,789.0,43.0,1.6,4.51,6.0,20.8,56.1
41.6,1564.0,35.0,-7.0,11.04,16.0,29.4,61.2
37.6,2564.0,49.0,3.1,14.44,22.0,31.4,75.7
58.8,1992.0,46.0,-7.0,17.35,31.0,32.5,68.6
20.0,1964.0,41.0,4.7,5.66,34.0,31.0,63.5
18.0,1647.0,21.0,0.0,11.256157120272407,23.0,23.1,65.5
18.8,960.0,93.0,3.9,2.69,33.67243525896414,18.8,68.6
100.0,1235.0,87.0,5.5,20.38,31.0,37.3,51.0
99.2,2132.0,77.0,0.8,31.72,48.0,37.6,63.9
89.4,2419.0,62.0,-7.0,32.56,53.0,37.3,67.1
74.5,2670.0,53.0,-1.6,29.21,59.0,35.7,68.2
18.4,2887.0,25.0,3.9,8.46,33.67243525896414,27.1,80.4
18.8,2828.0,20.0,0.0,8.08,50.0,26.7,64.3
69.8,1858.0,49.0,6.2,19.45,43.0,33.3,67.5
19.2,2062.0,44.0,5.5,5.91,38.0,24.3,72.2
18.4,1755.0,28.0,0.0,4.5,27.0,22.0,67.1
80.0,1393.0,58.0,-5.5,16.7,35.0,32.5,63.9
29.4,1774.0,59.0,3.9,11.21,41.0,29.8,74.9
71.0,2052.0,58.0,-3.1,21.56,47.0,33.7,67.8
68.6,2384.0,54.0,-3.9,24.43,53.0,34.5,69.4
52.9,2622.0,30.0,2.3,20.8,54.0,33.3,71.8
19.2,2109.0,18.0,9.4,5.61,51.0,23.9,63.8636053593179
72.5,1282.0,55.0,-5.5,12.78,40.0,31.0,63.8636053593179
80.0,1394.0,65.0,-0.8,16.22,46.0,32.2,63.1
77.6,1593.0,48.0,-4.7,18.24,53.0,32.9,65.5
50.6,1817.0,40.0,-7.8,13.54,58.0,30.6,70.2
18.0,1593.0,20.0,0.0,4.17,54.0,22.0,63.1
56.1,1453.0,49.0,3.9,11.67,54.0,29.8,67.5
52.5,1503.0,20.0,-5.5,9.87,53.0,24.7,68.2
18.4,1411.0,49.0,14.8,3.9,50.0,20.8,63.9
